quantum_row_id,source_index,Conductivity,ph,Sulfate,Hardness,Chloramines,Potability
0,1896,558.1765918060804,7.044375318734117,390.46768366159927,229.6031727838324,7.837777990854427,1
1,1927,311.0930645090889,,,179.75670785471027,7.287310207465927,1
2,2921,577.4447127405397,7.611982388879645,329.5806789162711,190.6628035986414,5.224256299847236,0
3,931,482.5982701668688,6.9549072165208425,337.26717749262025,159.7663994260648,4.493900097817161,0
4,490,412.9967633675452,6.624806427804383,312.3152294325907,204.342927508927,5.980401833086066,0
5,57,405.3304820275903,4.999413810796919,324.8930378422557,190.28705014936028,7.230164126862036,0
6,2912,325.2025697168124,5.158722568170486,407.4768487074137,119.09383996546896,7.572175377074621,0
7,794,459.5690213665925,9.146557555894002,319.02580857134706,226.09342489483132,9.241762922024453,1
8,1772,485.37915630163,9.61022034489963,,156.9295461583656,4.639027544575495,0
9,2982,386.4641507477815,8.847880710565029,380.59249104930217,190.70085322501603,6.663397069642296,0
10,726,443.0292321286284,0.2274990502021987,283.69378223429663,152.5301111764229,3.4624920476792767,1
11,27,298.99066649993244,,304.0019927974152,145.76818060217258,7.906444720606137,0
12,3062,349.38523535374304,,,209.53169733192868,8.898023977582804,0
13,753,439.6330268963013,7.694264581971543,,184.83630056639765,5.701063334216145,1
14,313,331.5701386503692,5.862641232845869,412.6901113506213,185.06521994820335,4.382721317231579,1
15,1535,375.7245185330389,,,287.370208188522,5.5172797179661845,1
16,750,401.3048946303945,6.323942072569584,347.23682655314894,185.99241060624863,5.892962668914752,1
17,3018,283.172007740677,,263.8764707538205,200.71720655652783,6.759980713834527,0
18,2263,425.86803918628414,11.235425957161038,327.6509604169697,178.59649594457375,9.063042096432769,0
19,1531,376.6727942156429,6.692531669059861,280.8449162117161,200.40435093805635,4.7270723230968885,1
20,1093,393.17668125098567,8.501711439023032,,193.90890608507843,7.108190294038022,1
21,194,427.4959312452204,3.719791644371925,351.5554822099039,248.8592672843447,7.683742220804051,0
22,1424,471.178108774357,5.064042459574996,,214.5293282929113,9.134812616976626,0
23,1556,399.7669648211219,,247.1800381287815,158.20764744104997,4.064877887005874,1
24,2857,311.7500192169767,,252.06726719561703,154.92597170844743,5.796570971275747,1
25,1921,490.0470946153679,7.288736661267014,331.8381671295742,233.97780970903895,8.533888277656953,1
26,640,335.37821151987544,,374.15762079529134,226.5483539155369,4.1906962110019705,0
27,3194,649.8057645659717,6.189699260391608,366.5011179434794,224.4329492970915,5.879183845348483,1
28,325,430.4872957139327,7.443189014292676,,193.12479889284373,4.313264845761401,1
29,1206,391.8209641138389,,234.2856214451352,134.67925657493728,4.792361012310782,1
30,2176,424.0584184106429,,336.04045183957794,260.8450392750325,5.260670004788063,0
31,1688,452.9702846516933,8.031055220266794,314.47156580599545,222.6284244862252,8.754513037929026,0
32,1902,548.6377020787955,6.405392481776244,366.1766335901449,183.867245042979,8.450272354606483,1
33,816,469.1319512580189,5.452214926167417,298.3184182542306,199.22846754405663,7.689190528554683,1
34,3109,471.9040319656132,6.283678794634559,284.20602148145,205.3766238408668,7.078344555547338,0
35,567,380.14520478709386,9.011588753600265,,228.91951919276175,6.767010377914622,0
36,377,390.9550329818341,,,131.54774425866867,7.207846353642049,1
37,2312,295.6751366348994,6.266378409594093,376.87055545344543,163.38540452824023,8.508750972457303,1
38,1883,417.1252096653624,7.456250785416918,,226.53828873349204,5.7262235902026815,0
39,3023,464.0748499377378,5.287982807934926,238.8440036875379,245.02346111649337,7.135063441641857,0
40,1515,404.1959120807727,7.330196876767331,411.1006916798007,159.80372018647915,9.194574840122243,1
41,1765,530.217007876155,9.497261162881252,427.1845083490263,124.48281022312054,4.814655980036516,0
42,2407,428.8327463475267,5.916930488243061,329.6193364555097,185.9250211478212,6.7746097430471695,1
43,2356,419.51295764923873,5.4985146932294855,352.25071130398965,180.8251137620231,6.70709459234911,1
44,1348,336.0464514806999,6.922041828080885,357.9352222939068,201.41012273319703,8.463003513917272,0
45,2094,394.4405811590347,6.890274539026094,350.6578721796257,185.7441467343026,8.022936053005736,0
46,3204,398.32878874006775,8.077260885586492,317.6933311873576,125.30271940363592,8.773161930761969,1
47,2088,478.102692765685,,327.3406381003838,193.6294862689193,8.685011669004567,0
48,1811,419.4530876555296,,305.0400259353043,247.1640182695371,7.08637465543505,0
49,3025,301.9842395216359,7.149124567592087,302.00274315475485,202.58254227278624,6.067812010702551,0
50,8,389.3755658712614,,268.646940746221,118.98857909025187,7.804173553073094,0
51,853,386.803056636904,5.039373608702727,,142.8605979960346,7.27154271028571,0
52,790,460.56672194405206,4.909518983025118,,186.19070317130723,9.318247597478518,1
53,2179,235.0422834749786,6.448971089901665,,237.4610992410309,5.5998703419812665,0
54,1084,419.1733119911466,8.154531511065274,,168.09893538502118,6.19884397985866,1
55,806,437.21759018140494,4.739548767002988,372.8150748102446,162.24688566600025,2.862535374452988,1
56,1574,434.9545188654389,7.986018499069503,287.57088393241804,180.79555812792435,5.687865445343612,1
57,598,418.6787646694522,8.214099764451955,343.477261505328,192.177126568486,7.536023170642026,0
58,2061,570.9750270653674,5.29419539028417,369.6084646880126,234.27139905493044,3.611358231773664,0
59,1546,474.05749017326025,6.642755695262761,298.5524799389983,168.89642168837517,6.062561086621286,1
60,1509,315.1993932446135,6.618186566692918,,164.2545648416487,5.925462323451307,1
61,835,452.9952927870204,7.440825031061319,335.6264426329922,183.362712601924,4.6102446924534215,0
62,1904,358.5164767719204,6.9639793510478585,,180.40150602930817,6.424098532500371,1
63,1956,447.1671009870266,7.781663759793227,306.6433363106741,216.78288125009544,7.784203339169811,1
