source_index,Sulfate,ph,Solids,Chloramines,Hardness,Potability
530,318.408397185988,6.641500687280974,27867.486756939925,7.327729345294117,198.88440946619727,0
2738,368.105783101925,6.857493757803479,22603.64945436473,6.627059043301967,233.21057499872185,1
2495,319.8705844996722,,12675.938962030115,9.777807381254815,183.48883884863795,0
183,305.79495029776217,6.769572868656792,11067.181147840996,7.121263608584251,168.93707245387174,0
2348,294.60303753204903,,18489.65250509375,3.758833181507526,215.4916060103741,1
2728,272.44084830538725,6.179312077651539,21532.519232080427,8.063334618675412,159.77326423152047,1
2158,279.1466829796012,7.904053370906855,23575.991430246937,7.493024192606254,217.77163128141007,0
2828,,6.8236420060869065,14053.220679296996,8.12063135094418,170.32817202926725,1
1233,282.9698785014731,5.2140091940446665,34184.30840188933,5.783357385747603,192.64884626109333,0
2401,341.5971527449922,4.083594880123227,20555.965488803144,1.92027144925428,201.93864337485672,1
1661,288.35685587854096,6.791097166019485,20149.179673348102,5.803999900907868,209.1281632690479,0
2313,379.9629732706872,,16219.4753201797,5.563067208263512,144.99579042512303,1
472,356.768119344542,7.920794564373236,13454.634777245552,6.947895137367302,173.35715056714022,0
216,259.37332176941635,7.0861684008433095,4304.492483085919,3.615890517202109,189.1453776814234,0
416,349.73466158479204,6.262798867453871,31414.525805340723,4.528076190732979,206.88974832096005,0
2769,418.9550102706045,8.040144167343296,6879.764653372923,8.136930576288464,224.86348197975477,1
696,316.56731934499334,9.545270521249014,25189.8306215794,6.2038687851292345,212.04639107513637,1
733,324.1289152553997,9.239440361060408,14829.624212321543,7.172920416881898,212.56907634315343,1
1870,310.63291048911015,6.581082756075466,24480.671795007485,5.837151801943094,217.53850402153955,0
1701,306.7968615478785,6.054607180419152,10215.812416702389,5.983974183637757,228.198026777358,0
247,332.0026304057902,8.896418988301798,8870.902965942287,6.011342433002107,222.25629288902,0
3077,313.98734272068555,10.227689694262509,9546.129215154651,5.899676356641535,225.91911827974377,0
2996,397.4696780705473,,16034.45369903539,7.136008140206206,205.0658790565438,0
2148,,9.814247468572583,30575.94690238904,6.393927190159396,177.7122169122115,0
2853,446.72401618621694,5.272156458908084,19015.46827486608,9.013016217643194,181.73287696977007,1
1062,329.1196851014237,8.81535795265852,26780.69178733168,7.223961867464942,208.33108404702924,0
956,301.9655414236933,4.713116701054447,20070.56779192111,6.591108949152465,209.3420508856412,0
340,373.9917105012362,6.848331559049443,12837.506062969442,5.164448054837886,159.18805013792684,1
2984,,8.75856005645011,25564.76756368057,8.070254636949876,174.72868612181793,0
3124,323.5380551409755,7.77766536646659,16780.11614682852,6.123297466049608,233.76157880680097,1
2668,322.0595875907542,,17429.584949659697,6.3176544269347366,130.55856146255113,0
1568,,8.83264111562239,25100.13140450449,6.817660238042554,199.4250376532799,1
142,352.7021822368813,6.825467900630395,46140.12684950231,6.137757462086741,187.05170966607412,0
1871,349.9228521065612,7.86464967253437,23045.72624697215,7.432010934769431,218.15310691388663,0
638,306.4511896424614,4.681098760235678,38748.41134555242,4.65251383340415,220.47612607659403,0
3020,,11.62114013448698,15102.237427658583,7.81641497645993,203.73036790881423,0
111,346.4032581373675,7.875895135481787,12710.249451611751,7.303126583151656,226.28478781681216,0
1262,369.34180307751546,6.934503590060883,15323.40882188845,5.666870422440619,176.96943085029608,0
1173,311.77782190208166,6.320427822952782,11682.229317057963,6.968422637847091,210.31004278172315,1
377,,,21626.497594539996,7.207846353642049,131.54774425866867,1
1927,,,25703.15520088736,7.287310207465927,179.75670785471027,1
1446,,6.411525835916651,19505.296944750648,8.262397946352621,197.6848791283288,0
1453,330.5521729239247,8.034011916654261,25204.674081703863,6.501096900445839,197.6093924021595,0
1121,285.3951122985862,9.434005874654105,20474.820823972797,5.857333129140415,158.38784000010122,1
1091,337.23146852418967,,19947.434474507278,7.378235881075599,200.31523572876205,1
367,341.72823932230995,6.505872509363588,29534.690291753457,6.775277154369163,240.28791166558463,1
2854,,6.903074330528872,17947.988113640647,7.048017331283495,206.92250438388717,1
1531,280.8449162117161,6.692531669059861,37033.152091371725,4.7270723230968885,200.40435093805635,1
3181,380.3635902410986,6.641174116155328,10220.712358756396,6.675080629168261,191.91689889568164,1
2286,399.25369012854185,5.973951249276727,26804.10949146879,5.73798825900627,182.14332829158508,0
384,385.05913433199646,9.73956194896991,13623.160062865045,7.23592175948416,166.94886404872258,1
180,424.7879958935085,7.917049443177883,27192.28056064627,9.220128211470378,278.0563209975309,0
2684,358.933088695935,4.835297728180936,23031.215807155997,5.560179470099503,136.29503661188215,0
1158,344.3092890116938,10.41504401364904,34535.55385004349,6.354814991677399,167.42258105469432,1
1567,,,24634.55244287133,9.081880472815234,187.04328340357503,1
3103,339.0637148109293,5.9672742278667465,30846.585474123283,7.281105533226092,187.0850839899358,0
1940,289.59969184421067,7.369087138654637,28232.018406459585,8.899711625929987,198.20408242750665,1
3265,328.88683761881884,8.197353369384867,27701.79405469116,6.472914285587643,203.1050914346406,1
339,289.9599528593499,7.54370046605691,19116.01208412308,8.493406748544633,161.6231416269478,1
1232,345.7142057734734,9.13569425989131,9496.91035373795,6.18592511972857,194.81561840868488,0
2430,371.6755553128619,,17029.53489268212,7.018990028324963,179.7962052126882,1
2781,350.3257358347887,8.323982150124747,21292.82875462119,7.076944002447285,262.2185852767776,1
1016,348.1773307361863,8.31595907145097,16123.304450528043,9.47580112878229,221.2702227529179,0
